task_id,level,FDK,CLH,CLO,SYS,GND,IGE,OGE,SND,VIB,MTN,VIS,NAV,ATM,OST
he-4.9,TP,-,-,-,-,-,-,-,-,-,-,-,-,-,-
he-4.9,T,-,-,-,-,-,-,-,-,-,-,-,-,-,-
he-5.1,TP,S,S,S,S,N,S,S,G,R,R,R,S,R,G
he-5.1,T,R,R,R,R,N,R,R,G,N,N,R,R,G,G
he-5.1.1,TP,S,S,S,S,N,S,S,G,R,R,R,S,R,G
he-5.1.1,T,R,R,R,R,N,R,R,G,N,N,G,R,G,G
he-5.2,TP,R,R,R,S,N,N,R,G,N,N,N,S,R,N
he-5.2,T,G,G,G,R,N,N,G,G,N,N,N,R,G,N
he-5.3,TP,R,R,R,S,N,N,R,G,G,G,N,S,R,N
he-5.3,T,G,G,G,R,N,N,G,G,N,N,N,R,G,N
he-5.4.1,TP,S,S,S,S,N,N,R,G,N,N,G,S,R,G
he-5.4.1,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.4.2,TP,S,S,S,S,N,N,R,G,N,N,G,S,R,G
he-5.4.2,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.4.3,TP,S,R,R,S,G,R,R,G,N,N,G,S,R,G
he-5.4.3,T,R,G,G,R,G,G,G,G,N,N,G,R,G,G
he-5.4.4,TP,S,S,S,S,N,N,R,G,R,R,S,S,R,R
he-5.4.4,T,R,R,R,R,N,N,G,G,N,N,R,R,G,G
he-5.5,TP,S,S,S,S,N,N,R,G,N,N,G,S,R,G
he-5.5,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.6,TP,S,S,S,S,N,N,R,G,R,R,G,S,R,G
he-5.6,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.6.1,TP,S,S,S,S,N,N,R,G,R,R,G,S,R,G
he-5.6.1,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.6.2,TP,S,S,S,S,N,N,R,G,R,R,G,S,R,G
he-5.6.2,T,R,R,R,R,N,N,G,G,N,N,G,R,G,G
he-5.7,TP,S,S,S,S,N,N,R,G,R,R,R,N,G,N
he-5.7,T,R,R,R,R,N,N,G,G,N,N,R,N,G,N
he-5.8,TP,S,S,S,S,N,N,R,G,R,R,N,N,G,N
he-5.8,T,R,R,R,R,N,N,G,G,N,N,N,N,G,N
